chi2,mass,radii,mdot,velocity,ID
19.032796,17.6,77.3,2.68E-05,1728.454343,338
19.067952,17.6,80.3,1.40E-05,772,339
19.079832,17.5,74.7,1.90E-05,1174,340
19.082156,17.5,75.3,1.30E-05,723,341
19.10069,19.1,62.8,9.48E-06,463.6199063,342
19.128398,19.2,64.5,1.15E-05,708.7700691,343
19.143365,17.5,74.4,1.50E-05,832,344
19.177942,19.3,73.4,1.19E-05,502.3857459,345
19.216478,19.1,59.3,9.06E-06,588.3586466,346
19.235913,19.2,69.8,1.66E-05,1089.270571,347
19.286973,17.6,83,2.10E-05,1283,348
19.329225,19.3,70.9,1.05E-05,534.9417439,349
19.332272,17.5,74.7,2.00E-05,1337,350
19.348659,17.5,73.4,1.20E-05,700,351
19.353866,17.6,78.2,2.45E-05,1548.731397,352
19.364422,17.5,75.3,1.50E-05,819,353
19.380719,19.2,67.5,1.04E-05,549.1441737,354
19.414042,29.4,106.9,2.80E-05,1342.508076,355
19.431327,17.6,83,2.30E-05,1297,356
19.449534,17.6,82.2,2.10E-05,1120,357
19.492812,17.6,78.8,1.20E-05,650,358
19.498219,17.5,74.7,1.80E-05,1242,359
19.533575,17.5,75.3,1.60E-05,1037,360
19.561931,17.6,80.3,1.70E-05,869,361
19.568564,19.1,64.2,1.09E-05,699.2340624,362
19.637836,17.6,83,2.20E-05,1166,363
19.710747,17.6,82.7,2.29E-05,1382.286941,364
19.722779,17.5,75.3,1.40E-05,837,365
19.735355,17.5,77,1.82E-05,1100.50327,366
19.776992,17.6,80.5,2.15E-05,1381.929879,367
19.782698,17.5,73.8,2.50E-05,1762,368
19.872904,17.5,74.7,1.40E-05,913,369
19.898223,17.6,83,2.07E-05,1104.104072,370
19.921182,19.4,77.7,1.20E-05,451,371
19.962239,19.3,71.4,1.10E-05,573.7828231,372
19.974629,17.5,74.7,1.60E-05,1075,373
19.980453,17.5,74.7,2.10E-05,1267,374
19.990456,19.2,70.2,1.67E-05,977.7021563,375
20.02273,17.6,78.2,1.40E-05,821,376
20.025239,17.6,83.2,1.90E-05,982,377
20.047466,19.4,80.4,1.30E-05,581,378
20.150482,17.6,78.8,1.80E-05,874,379
20.165462,19.1,61.1,9.99E-06,648.0534034,380
20.198932,19.4,77.7,1.80E-05,1105,381
20.22295,17.6,83,2.40E-05,1218,382
20.230854,17.6,80.3,2.30E-05,1433,383
20.253711,31.2,99.1,3.18E-05,1648.798781,384
20.255463,17.5,74.7,1.10E-05,637,385
20.257476,17.5,74.7,1.30E-05,864,386
20.275777,17.5,73.8,1.60E-05,1088,387
20.300559,17.5,75.3,1.60E-05,893,388
20.344927,17.6,83,2.00E-05,1184.657203,389
20.349405,17.6,83,1.59E-05,788.671048,390
20.370042,17.5,74.4,2.23E-05,1384.555898,391
20.406178,19.2,64.4,9.19E-06,528.2070494,392
20.42729,17.5,74.4,1.30E-05,795,393
20.431679,19.3,75.9,1.36E-05,759.3386237,394
20.432435,19.2,65.4,1.03E-05,560.9287121,395
20.451028,17.5,75.3,1.50E-05,976,396
20.489856,19.4,79.2,1.65E-05,949.7272139,397
20.541665,17.6,78.2,2.10E-05,1242,398
20.562379,17.5,74.7,1.20E-05,715,399
20.592806,17.6,80.3,1.80E-05,947,400
20.602587,17.6,78.2,1.50E-05,937,401
20.616765,19.4,77.7,1.70E-05,841,402
20.621664,17.6,81.9,1.80E-05,917,403
20.691683,17.6,80.3,1.90E-05,947,404
20.743339,17.5,72.5,1.50E-05,829,405
20.750551,17.5,74.7,1.70E-05,1008,406
20.772118,17.6,83,1.56E-05,733.7643948,407
20.817142,17.6,82.4,1.96E-05,1011.118096,408
20.823051,17.6,77.9,2.05E-05,1249.349729,409
20.858324,19.3,71.1,1.22E-05,539.722455,410
20.87319,19.2,64.8,8.68E-06,370.5150982,411
20.883868,17.5,76.4,1.90E-05,1192,412
20.890017,17.5,74.7,1.36E-05,841.0592283,413
20.919847,17.5,75.3,1.30E-05,656,414
20.926748,17.6,78.2,2.40E-05,1561,415
20.942183,17.5,74.7,2.00E-05,1336,416
20.946799,17.5,75.3,2.60E-05,1750,417
20.977365,19.3,73.9,1.79E-05,1037.666603,418
20.977423,19.3,73.4,1.36E-05,774.884207,419
20.979527,17.6,81.3,1.71E-05,1038.715978,420
20.983158,29.4,106.9,3.48E-05,1752.49075,421
