"id","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","rv","mag","absmag","spect","ci","x","y","z","vx","vy","vz","rarad","decrad","pmrarad","pmdecrad","bayer","flam","con","comp","comp_primary","base","lum","var","var_min","var_max"
34601,34693,54719,2697,"","46Tau Gem","","7.185659",30.245163,98.4252,-31,-48.4,22,4.41,-0.556,"K2III",1.261,"-25.971151",80.964075,49.576976,"4.59-06","3.41-05","-8.62-06","1.88120120494289","0.527877675814066","-1.50292240972222-07","-2.34649821-07","Tau",46,"Gem",1,34601,"","145.344967791831","",,
13123,13156,17643,,"","","","2.819671",-25.289069,209.205,-1.11,-0.57,0,9.55,2.947,"F2IV/V",0.325,"139.916355",127.292068,-89.369318,"5.7-07","-1-06","-5.2-07","0.738188179912471","-0.441377527180074","-5.38143185416667-09","-2.763437-09","",,"For",1,13123,"","5.7703213533293","",,
65090,65295,116406,,"","","","13.382417",38.359856,609.7561,30.75,-19.98,0,9.16,0.234,"K0III",1.02,"-447.154053",-169.289077,378.413746,"-2.1-06","-9.798-05","-4.631-05","3.50350864445181","0.669505791424486","1.49080206770833-07","-9.6865773-08","",,"CVn",1,65090,"","70.2101660240315","",,
44934,45061,81103,,"","","","9.178102",-83.741498,212.3142,11.42,5.97,0,7.57,0.935,"G8/K0III",1.096,"-17.111302",15.585515,-211.048844,"-1.243-05","-4.58-06","6.7-07","2.40282137645007","-1.46156486174546","5.53657223194444-08","2.8943376-08","",,"Oct",1,44934,"","36.8128973642531","",,
64652,64857,115397,,"","","","13.293801",-45.34574,241.5459,-50.08,-1.42,0,8.99,2.075,"F8/G0V",0.554,"-160.119325",-56.408806,-171.826279,"-1.837-05","5.57-05","-1.17-06","3.48030905154645","-0.791432467238097","-2.42794691222222-07","-6.884354-09","",,"Cen",1,64652,"","12.8824955169313","",9.05,8.94
2039,2044,2194,,"","","","0.432274",-6.067789,537.6344,25.78,-5.67,0,9.64,0.988,"K0",1.141,"531.202449",60.373682,-56.830669,"-9.14-06","6.658-05","-1.469-05","0.11316912761846","-0.105902891528181","1.24984966847222-07","-2.7488935-08","",,"Psc",1,2039,"","35.0590383932613","",,
108033,108378,208971,,"","","","21.95672",66.139082,598.8024,5.28,2.32,11,6.55,-2.336,"K5",1.614,"208.38846",-123.48213,547.622904,"6.43-06","1.401-05","1.301-05","5.74825592998392","1.15434474241717","2.55981623333333-08","1.1247677-08","",,"Cep",1,108033,"","748.858907521644","",,
3181,3188,3809,,"","","","0.675927",-29.420859,201.2072,17.19,8.14,0,6.75,0.232,"K0III",0.996,"172.521657",30.851695,-98.83718,"8.9-07","1.719-05","6.92-06","0.176957336220377","-0.513490859691461","8.33394716875-08","3.9463833-08","",,"Scl",1,3181,"","70.3396171216247","",,
9180,9199,11970,,"","","","1.973412",40.913668,129.7017,112.12,-8.9,0,8.23,2.665,"G5",0.863,"85.222659",48.415717,84.94438,"-3.164-05","6.311-05","-4.23-06","0.516638180264613","0.714078209451351","5.43573098638889-07","-4.3148417-08","",,"And",1,9180,"","7.48169500511154","",,
31962,32047,48339,,"","","","6.695554",-27.741373,294.1176,-5.32,16.18,0,8.46,1.117,"K2III",1.142,"-47.139955",256.007168,-136.906233,"5.52-06","1.193-05","2.042-05","1.75289190131923","-0.484178304625036","-2.57920878055556-08","7.8442853-08","",,"CMa",1,31962,"","31.1314966544702","",,
36115,36216,59367,,"","","","7.458473",-44.815883,520.8333,-7.34,5.08,0,8.57,-0.013,"G8II",1.042,"-137.669364",342.85931,-367.099395,"1.383-05","1.529-05","9.1-06","1.95262377562841","-0.782184717500327","-3.55853241527778-08","2.4628534-08","",,"Pup",1,36115,"","88.1454704447221","",,
5601,5613,7221,,"","","","1.200012",-39.161747,213.2196,81.57,-39.12,0,8.12,1.476,"K1III",1.117,"157.23158",51.088358,-134.650688,"-5.034-05","7.23-05","-3.135-05","0.314162408297043","-0.683501426517221","3.95462519229167-07","-1.89659111-07","",,"Scl",1,5601,"","22.3666014946618","",,
43264,43387,,,"","","","8.838505",11.407847,446.4286,-2.04,-5.32,0,8.75,0.501,"K0",1.166,"-296.080913",322.238622,88.299822,"1.71-06","4.66-06","-1.129-05","2.31391518646076","0.199104488319239","-9.89019908333333-09","-2.5792087-08","",,"Cnc",1,43264,"","54.9034961025203","",,
67055,67267,120013,,"","","","13.786815",-23.475273,469.4836,2.42,-0.78,0,8.93,0.572,"K1III",1.191,"-384.36262",-194.174214,-187.020324,"3.11-06","-4.6-06","-1.63-06","3.6093796126593","-0.409720813088527","1.17324910694444-08","-3.781546-09","",,"Hya",1,67055,"","51.4280431948792","",,
39842,39956,68400,,"","","","8.159224",-53.542132,179.2115,-50.51,94.19,0,8.77,2.503,"G3IV",0.742,"-57.043478",89.926783,-144.138741,"1.8-06","7.908-05","4.863-05","2.13607996430534","-0.934486494347456","-2.44879390048611-07","4.56646005-07","",,"Car",1,39842,"","8.68560350348777","",,
71563,71789,128420,,"","","","14.68485",-72.319417,367.6471,11.86,-12.99,0,9.12,1.293,"K0/K1III",1.267,"-85.192399",-72.178965,-350.281091,"3.049-05","-1.87-06","-7.03-06","3.8444848611154","-1.26221193405135","5.74989025138889-08","-6.2977297-08","",,"Aps",1,71563,"","26.4728074001756","",,
47302,47436,83525,,"","","","9.666059",35.335957,48.9716,-67.95,2.97,0,6.9,3.45,"F5",0.504,"-32.721297",22.919488,28.323689,"9.59-06","1.298-05","5.8-07","2.53056836747966","0.616728799990952","-3.294308959375-07","1.4398966-08","",,"LMi",1,47302,"","3.63078054770101","",,
40855,40969,68769,,"","","","8.360725",76.365067,277.0083,-11.14,-5.05,0,8.1,0.888,"G5",1.05,"-37.837349",53.221099,269.201501,"8.37-06","1.404-05","-1.6-06","2.18883267442786","1.33282184577296","-5.40082440138889-08","-2.448309-08","",,"Cam",1,40855,"","38.4414711759578","",,
24149,24206,33953,,"","","","5.196512",-42.157946,549.4505,6.08,23.61,0,9.24,0.54,"K0III",1.056,"85.047497",398.328131,-368.778356,"-7.02-06","4.466-05","4.662-05","1.36044358092088","-0.735794958435546","2.94766717777778-08","1.14464509-07","",,"Col",1,24149,"","52.9663443891658","",,
63240,63442,,,"","","","13.000691",47.442332,312.5,1.16,-0.58,0,9.37,1.896,"K0III",1.182,"-204.142117",-54.73933,230.186558,"-1.7-07","-1.86-06","-5.9-07","3.40357306520859","0.828024900395709","5.62383869444444-09","-2.811919-09","",,"CVn",1,63240,"","15.1914769844752","CD",9.477,9.317
98239,98550,189513,,"","","","20.019347",-21.462856,105.7082,97.2,27.7,-44,8.29,3.169,"F2V",0.36,"49.61967",-84.947159,-38.678272,"2.451-05","5.68-05","2.968-05","5.24105280834035","-0.374597507932846","4.712388975-07","1.34293389-07","",,"Sgr",1,98239,"","4.70327096440778","",,
